Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-05,
Horizontal Delay,0,
Sample Interval,1e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,A
Vertical Offset,0,-1
Vertical Scale,2,0.02
Vertical Position,-0.06,5
,,
,,
,,
Label,,
TIME,CH2,CH4
-5.000e-05,4.6,-1.1048
-4.999e-05,4.76,-1.1056
-4.998e-05,4.84,-1.1056
-4.997e-05,4.76,-1.104
-4.996e-05,4.52,-1.104
-4.995e-05,4.68,-1.104
-4.994e-05,4.68,-1.1048
-4.993e-05,4.68,-1.1048
-4.992e-05,4.84,-1.104
-4.991e-05,4.68,-1.1032
-4.990e-05,4.68,-1.1048
-4.989e-05,4.76,-1.104
-4.988e-05,4.84,-1.104
-4.987e-05,4.68,-1.104
-4.986e-05,4.68,-1.1032
-4.985e-05,4.76,-1.1032
-4.984e-05,4.84,-1.1024
-4.983e-05,4.76,-1.1032
-4.982e-05,4.68,-1.1032
-4.981e-05,4.68,-1.1032
-4.980e-05,4.68,-1.104
-4.979e-05,4.76,-1.1048
-4.978e-05,4.68,-1.1032
-4.977e-05,4.68,-1.1032
-4.976e-05,4.76,-1.1032
-4.975e-05,4.76,-1.1032
-4.974e-05,4.76,-1.1024
-4.973e-05,4.76,-1.1024
-4.972e-05,4.84,-1.1032
-4.971e-05,4.76,-1.1016
-4.970e-05,4.76,-1.1016
-4.969e-05,4.76,-1.1032
-4.968e-05,4.68,-1.1032
-4.967e-05,4.68,-1.1024
-4.966e-05,4.76,-1.1024
-4.965e-05,4.76,-1.1024
-4.964e-05,4.68,-1.1024
-4.963e-05,4.76,-1.1024
-4.962e-05,4.76,-1.1024
-4.961e-05,4.68,-1.1024
-4.960e-05,4.68,-1.1024
-4.959e-05,4.76,-1.1024
-4.958e-05,4.68,-1.1024
-4.957e-05,4.76,-1.1024
-4.956e-05,4.68,-1.1016
-4.955e-05,4.76,-1.1024
-4.954e-05,4.76,-1.1016
-4.953e-05,4.76,-1.1016
-4.952e-05,4.76,-1.1024
-4.951e-05,4.68,-1.1016
-4.950e-05,4.68,-1.1008
-4.949e-05,4.76,-1.1024
-4.948e-05,4.68,-1.1008
-4.947e-05,4.68,-1.1016
-4.946e-05,4.76,-1.1016
-4.945e-05,4.76,-1.1024
-4.944e-05,4.76,-1.1008
-4.943e-05,4.68,-1.1024
-4.942e-05,5.08,-1.1024
-4.941e-05,5.16,-1.1024
-4.940e-05,4.84,-1.1024
-4.939e-05,4.6,-1.1016
-4.938e-05,4.92,-1.1024
-4.937e-05,4.84,-1.1008
-4.936e-05,4.2,-1.128
-4.935e-05,5.08,-1.0736
-4.934e-05,5.48,-1.1152
-4.933e-05,4.76,-1.1136
-4.932e-05,4.52,-1.0928
-4.931e-05,5,-1.1088
-4.930e-05,5.08,-1.1056
-4.929e-05,4.6,-1.096
-4.928e-05,4.36,-1.1008
-4.927e-05,4.52,-1.1112
-4.926e-05,4.92,-1.1
-4.925e-05,5.08,-1.0968
-4.924e-05,4.68,-1.1056
-4.923e-05,4.44,-1.104
-4.922e-05,4.92,-1.0976
