Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,6e-07,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,10,1
Vertical Units,V,V,A
Vertical Offset,0,10,0.0452
Vertical Scale,5,0.5,0.005
Vertical Position,-0.68,2.1,0.46
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH4
-4.940e-05,4.6,9.97,0.0479
-4.939e-05,4.6,9.97,0.0477
-4.938e-05,4.8,9.97,0.0477
-4.937e-05,4.6,9.99,0.0479
-4.936e-05,4.4,9.97,0.0477
-4.935e-05,4.6,9.97,0.0473
-4.934e-05,4.6,9.97,0.0477
-4.933e-05,4.6,9.99,0.0479
-4.932e-05,4.6,9.97,0.0479
-4.931e-05,4.6,9.97,0.0483
-4.930e-05,4.6,9.97,0.0475
-4.929e-05,4.6,9.99,0.0483
-4.928e-05,4.6,9.97,0.0479
-4.927e-05,4.8,9.97,0.0475
-4.926e-05,4.6,9.95,0.0475
-4.925e-05,4.4,10.01,0.0477
-4.924e-05,4.6,9.97,0.0481
-4.923e-05,4.6,9.97,0.0479
-4.922e-05,4.8,9.97,0.0475
-4.921e-05,4.6,9.97,0.0477
-4.920e-05,4.6,9.97,0.0479
-4.919e-05,4.6,9.99,0.0479
-4.918e-05,4.6,9.97,0.0479
-4.917e-05,4.6,9.97,0.0479
-4.916e-05,4.6,9.95,0.0479
-4.915e-05,4.4,9.97,0.0477
-4.914e-05,4.6,9.97,0.0479
-4.913e-05,4.6,9.99,0.0475
-4.912e-05,4.6,9.97,0.0479
-4.911e-05,4.8,9.97,0.0479
-4.910e-05,4.6,9.93,0.0479
-4.909e-05,4.6,9.95,0.0477
-4.908e-05,4.6,9.97,0.0479
-4.907e-05,4.4,9.97,0.0477
-4.906e-05,4.6,9.97,0.0479
-4.905e-05,4.8,9.95,0.0479
-4.904e-05,4.6,9.95,0.0477
-4.903e-05,4.6,9.95,0.0479
-4.902e-05,4.6,9.95,0.0479
-4.901e-05,4.6,9.97,0.0477
-4.900e-05,4.6,9.97,0.0475
-4.899e-05,4.8,9.97,0.0475
-4.898e-05,4.6,9.95,0.0477
-4.897e-05,4.6,9.97,0.0477
-4.896e-05,4.6,9.95,0.0475
-4.895e-05,4.6,9.97,0.0479
-4.894e-05,4.6,9.95,0.0477
-4.893e-05,4.8,9.97,0.0477
-4.892e-05,4.6,9.97,0.0477
-4.891e-05,4.8,9.95,0.0479
-4.890e-05,4.6,9.97,0.0477
-4.889e-05,4.6,9.95,0.0475
-4.888e-05,4.6,9.97,0.0479
-4.887e-05,4.6,9.95,0.0479
-4.886e-05,4.4,9.97,0.0475
-4.885e-05,4.6,9.97,0.0475
-4.884e-05,4.4,9.97,0.0475
-4.883e-05,4.4,9.97,0.0475
-4.882e-05,4.6,9.95,0.0479
-4.881e-05,4.8,9.97,0.0469
-4.880e-05,4.8,9.97,0.0475
-4.879e-05,4.6,9.95,0.0477
-4.878e-05,4.4,9.95,0.0473
-4.877e-05,4.8,9.93,0.0477
-4.876e-05,4.6,9.97,0.0477
