Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,3e-07,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,10,1
Vertical Units,V,V,A
Vertical Offset,0,10,0.0452
Vertical Scale,5,0.2,0.005
Vertical Position,2.66,4.86,-0.66
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH4
-4.830e-05,4.5,9.46,0.0453
-4.829e-05,4.5,9.452,0.0459
-4.828e-05,4.5,9.452,0.0455
-4.827e-05,4.5,9.46,0.0457
-4.826e-05,4.5,9.452,0.0455
-4.825e-05,4.7,9.452,0.0455
-4.824e-05,4.7,9.452,0.0457
-4.823e-05,4.5,9.444,0.0453
-4.822e-05,4.5,9.46,0.0457
-4.821e-05,4.5,9.46,0.0457
-4.820e-05,4.7,9.444,0.0455
-4.819e-05,4.3,9.452,0.0453
-4.818e-05,4.3,9.452,0.0457
-4.817e-05,4.7,9.452,0.0461
-4.816e-05,4.7,9.452,0.0459
-4.815e-05,4.5,9.452,0.0457
-4.814e-05,4.5,9.46,0.0455
-4.813e-05,4.5,9.452,0.0453
-4.812e-05,4.5,9.436,0.0457
-4.811e-05,4.5,9.452,0.0453
-4.810e-05,4.5,9.444,0.0459
-4.809e-05,4.7,9.452,0.0455
-4.808e-05,4.7,9.444,0.0453
-4.807e-05,4.7,9.436,0.0455
-4.806e-05,4.5,9.444,0.0457
-4.805e-05,4.5,9.444,0.0459
-4.804e-05,4.7,9.436,0.0455
-4.803e-05,4.5,9.444,0.0457
-4.802e-05,4.7,9.428,0.0455
-4.801e-05,4.5,9.428,0.0455
-4.800e-05,4.5,9.444,0.0457
-4.799e-05,4.5,9.436,0.0457
-4.798e-05,4.7,9.436,0.0453
-4.797e-05,4.5,9.436,0.0461
-4.796e-05,4.5,9.428,0.0455
-4.795e-05,4.7,9.428,0.0455
-4.794e-05,4.7,9.436,0.0455
-4.793e-05,4.7,9.428,0.0453
-4.792e-05,4.5,9.428,0.0459
-4.791e-05,4.7,9.428,0.0455
-4.790e-05,4.7,9.428,0.0455
-4.789e-05,4.5,9.428,0.0457
-4.788e-05,4.5,9.428,0.0455
-4.787e-05,4.5,9.42,0.0455
-4.786e-05,4.7,9.42,0.0455
-4.785e-05,4.5,9.42,0.0453
-4.784e-05,4.5,9.436,0.0457
-4.783e-05,4.5,9.428,0.0453
-4.782e-05,4.7,9.412,0.0457
-4.781e-05,4.7,9.42,0.0455
-4.780e-05,4.5,9.42,0.0455
-4.779e-05,4.7,9.42,0.0457
-4.778e-05,4.5,9.42,0.0455
-4.777e-05,4.5,9.412,0.0457
-4.776e-05,4.5,9.42,0.0453
-4.775e-05,4.5,9.412,0.0451
-4.774e-05,4.5,9.412,0.0455
-4.773e-05,4.7,9.404,0.0453
-4.772e-05,4.7,9.404,0.0457
-4.771e-05,4.5,9.404,0.0455
-4.770e-05,4.5,9.42,0.0459
-4.769e-05,4.5,9.412,0.0455
-4.768e-05,4.5,9.412,0.0451
-4.767e-05,4.7,9.412,0.0455
-4.766e-05,4.7,9.412,0.0455
-4.765e-05,4.5,9.412,0.0451
-4.764e-05,4.5,9.412,0.0453
-4.763e-05,4.5,9.404,0.0453
-4.762e-05,4.5,9.404,0.0455
-4.761e-05,4.5,9.404,0.0455
-4.760e-05,4.5,9.404,0.0455
-4.759e-05,4.5,9.404,0.0451
-4.758e-05,4.7,9.412,0.0451
-4.757e-05,4.5,9.404,0.0455
-4.756e-05,4.5,9.404,0.0455
-4.755e-05,4.5,9.396,0.0455
-4.754e-05,4.5,9.404,0.0457
-4.753e-05,4.5,9.396,0.0453
-4.752e-05,4.7,9.404,0.0453
-4.751e-05,4.7,9.404,0.0453
-4.750e-05,4.7,9.404,0.0451
-4.749e-05,4.7,9.396,0.0453
-4.748e-05,4.7,9.396,0.0451
-4.747e-05,4.5,9.396,0.0451
-4.746e-05,4.5,9.396,0.0457
-4.745e-05,4.3,9.396,0.0453
-4.744e-05,4.7,9.388,0.0453
-4.743e-05,4.7,9.388,0.0455
-4.742e-05,4.7,9.396,0.0453
-4.741e-05,4.7,9.388,0.0455
-4.740e-05,4.5,9.388,0.0453
-4.739e-05,4.5,9.388,0.0457
-4.738e-05,4.7,9.388,0.0453
-4.737e-05,4.5,9.388,0.0453
-4.736e-05,4.9,9.38,0.0453
-4.735e-05,4.5,9.388,0.0453
-4.734e-05,4.5,9.38,0.0453
-4.733e-05,4.3,9.388,0.0453
-4.732e-05,4.7,9.38,0.0453
-4.731e-05,4.5,9.38,0.0455
-4.730e-05,4.7,9.38,0.0453
-4.729e-05,4.5,9.372,0.0453
-4.728e-05,4.3,9.388,0.0455
-4.727e-05,4.5,9.38,0.0453
-4.726e-05,4.5,9.372,0.0453
-4.725e-05,4.5,9.372,0.0457
-4.724e-05,4.5,9.372,0.0455
-4.723e-05,4.5,9.38,0.0455
-4.722e-05,4.7,9.372,0.0455
-4.721e-05,4.5,9.364,0.0451
-4.720e-05,4.5,9.38,0.0449
