Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-05,
Horizontal Delay,0,
Sample Interval,1e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,A
Vertical Offset,0,0
Vertical Scale,2,0.02
Vertical Position,-0.72,1.82
,,
,,
,,
Label,,
TIME,CH2,CH4
-5.000e-05,6.72,-0.0204
-4.999e-05,6.64,-0.0204
-4.998e-05,6.64,-0.0204
-4.997e-05,6.72,-0.0212
-4.996e-05,6.8,-0.0212
-4.995e-05,6.72,-0.0196
-4.994e-05,6.64,-0.0196
-4.993e-05,6.64,-0.0204
-4.992e-05,6.8,-0.0196
-4.991e-05,6.72,-0.0196
-4.990e-05,6.64,-0.0204
-4.989e-05,6.56,-0.0204
-4.988e-05,6.64,-0.0196
-4.987e-05,6.8,-0.0196
-4.986e-05,6.8,-0.0188
-4.985e-05,6.64,-0.0196
-4.984e-05,6.64,-0.0196
-4.983e-05,6.8,-0.0204
-4.982e-05,6.72,-0.0188
-4.981e-05,6.72,-0.0188
-4.980e-05,6.72,-0.0188
-4.979e-05,6.64,-0.0196
-4.978e-05,6.72,-0.018
-4.977e-05,6.72,-0.0196
-4.976e-05,6.64,-0.018
-4.975e-05,6.72,-0.0188
-4.974e-05,6.64,-0.018
-4.973e-05,6.72,-0.018
-4.972e-05,6.8,-0.018
-4.971e-05,6.72,-0.0188
-4.970e-05,6.64,-0.018
-4.969e-05,6.64,-0.018
-4.968e-05,6.64,-0.018
-4.967e-05,6.72,-0.0172
-4.966e-05,6.72,-0.0172
-4.965e-05,6.64,-0.0172
-4.964e-05,6.64,-0.0164
-4.963e-05,6.64,-0.018
-4.962e-05,6.64,-0.0188
-4.961e-05,6.64,-0.0172
-4.960e-05,6.72,-0.018
-4.959e-05,6.64,-0.0172
-4.958e-05,6.72,-0.0172
-4.957e-05,6.72,-0.018
-4.956e-05,6.72,-0.0164
-4.955e-05,6.72,-0.0172
-4.954e-05,6.64,-0.0172
-4.953e-05,6.72,-0.0172
-4.952e-05,6.72,-0.0164
-4.951e-05,6.72,-0.0172
-4.950e-05,6.72,-0.0172
-4.949e-05,6.72,-0.0164
-4.948e-05,6.64,-0.0164
-4.947e-05,6.72,-0.018
-4.946e-05,6.72,-0.0172
-4.945e-05,6.72,-0.0164
-4.944e-05,6.96,-0.0172
-4.943e-05,6.8,-0.0188
-4.942e-05,6.24,-0.0556
-4.941e-05,6.88,0.0052
-4.940e-05,7.2,-0.0228
-4.939e-05,6.56,-0.0244
-4.938e-05,6.32,-0.006
-4.937e-05,6.64,-0.022
-4.936e-05,6.96,-0.0212
-4.935e-05,6.8,-0.0132
-4.934e-05,6.48,-0.0132
-4.933e-05,6.56,-0.0236
-4.932e-05,6.8,-0.0188
-4.931e-05,6.96,-0.0116
-4.930e-05,6.56,-0.0188
-4.929e-05,6.4,-0.0196
-4.928e-05,6.72,-0.0148
-4.927e-05,6.96,-0.0172
-4.926e-05,6.72,-0.0172
-4.925e-05,6.56,-0.0156
-4.924e-05,6.56,-0.0204
-4.923e-05,6.88,-0.0188
-4.922e-05,6.88,-0.0148
