Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-05,
Horizontal Delay,0,
Sample Interval,1e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,5.03,0
Vertical Scale,1,2
Vertical Position,2.2,-2.8
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.814e-05,4.67,3.6
-4.813e-05,4.63,3.52
-4.812e-05,4.71,3.52
-4.811e-05,4.71,3.52
-4.810e-05,4.71,3.52
-4.809e-05,4.71,3.68
-4.808e-05,4.71,3.6
-4.807e-05,4.71,3.6
-4.806e-05,4.75,3.6
-4.805e-05,4.71,3.6
-4.804e-05,4.75,3.6
-4.803e-05,4.71,3.44
-4.802e-05,4.71,3.6
-4.801e-05,4.75,3.52
-4.800e-05,4.71,3.6
-4.799e-05,4.75,3.6
-4.798e-05,4.71,3.52
-4.797e-05,4.67,3.52
-4.796e-05,4.71,3.68
-4.795e-05,4.71,3.52
-4.794e-05,4.75,3.6
-4.793e-05,4.71,3.6
-4.792e-05,4.71,3.44
-4.791e-05,4.71,3.52
-4.790e-05,4.71,3.6
-4.789e-05,4.75,3.6
-4.788e-05,4.71,3.52
-4.787e-05,4.71,3.52
-4.786e-05,4.71,3.52
-4.785e-05,4.71,3.6
-4.784e-05,4.71,3.6
-4.783e-05,4.67,3.6
-4.782e-05,4.71,3.6
-4.781e-05,4.71,3.6
-4.780e-05,4.71,3.52
-4.779e-05,4.71,3.6
-4.778e-05,4.67,3.6
-4.777e-05,4.75,3.52
-4.776e-05,4.67,3.6
-4.775e-05,4.71,3.68
-4.774e-05,4.75,3.52
-4.773e-05,4.67,3.6
-4.772e-05,4.71,3.6
-4.771e-05,4.71,3.6
-4.770e-05,4.71,3.6
-4.769e-05,4.75,3.6
-4.768e-05,4.67,3.6
-4.767e-05,4.71,3.52
-4.766e-05,4.71,3.6
-4.765e-05,4.67,3.52
-4.764e-05,4.71,3.6
-4.763e-05,4.71,3.6
-4.762e-05,4.75,3.6
-4.761e-05,4.71,3.6
-4.760e-05,4.75,3.68
-4.759e-05,4.71,3.6
-4.758e-05,4.71,3.6
-4.757e-05,4.71,3.6
-4.756e-05,4.71,3.6
-4.755e-05,4.75,3.6
-4.754e-05,4.71,3.6
-4.753e-05,4.75,3.52
-4.752e-05,4.75,3.6
-4.751e-05,4.67,3.6
-4.750e-05,4.71,3.6
-4.749e-05,4.71,3.52
-4.748e-05,4.71,3.6
-4.747e-05,4.71,3.6
-4.746e-05,4.71,3.6
-4.745e-05,4.71,3.68
-4.744e-05,4.71,3.52
-4.743e-05,4.71,3.6
-4.742e-05,4.75,3.68
-4.741e-05,4.75,3.6
-4.740e-05,4.71,3.6
-4.739e-05,4.71,3.6
-4.738e-05,4.71,3.6
-4.737e-05,4.71,3.6
-4.736e-05,4.75,3.6
-4.735e-05,4.71,3.68
-4.734e-05,4.71,3.6
-4.733e-05,4.71,3.6
-4.732e-05,4.71,3.6
-4.731e-05,4.63,3.52
-4.730e-05,4.67,3.6
-4.729e-05,4.75,3.6
-4.728e-05,4.75,3.52
-4.727e-05,4.71,3.6
-4.726e-05,4.71,3.6
-4.725e-05,4.75,3.68
-4.724e-05,4.71,3.52
-4.723e-05,4.75,3.6
-4.722e-05,4.71,3.6
-4.721e-05,4.75,3.6
-4.720e-05,4.71,3.6
-4.719e-05,4.75,3.6
-4.718e-05,4.71,3.52
-4.717e-05,4.71,3.6
-4.716e-05,4.71,3.6
-4.715e-05,4.75,3.6
-4.714e-05,4.71,3.6
-4.713e-05,4.75,3.6
-4.712e-05,4.71,3.6
-4.711e-05,4.75,3.6
-4.710e-05,4.71,3.52
-4.709e-05,4.71,3.6
-4.708e-05,4.71,3.6
-4.707e-05,4.71,3.6
-4.706e-05,4.71,3.6
-4.705e-05,4.71,3.6
-4.704e-05,4.67,3.6
-4.703e-05,4.75,3.6
-4.702e-05,4.71,3.6
-4.701e-05,4.71,3.6
-4.700e-05,4.75,3.6
-4.699e-05,4.71,3.6
-4.698e-05,4.71,3.6
-4.697e-05,4.71,3.52
-4.696e-05,4.75,3.6
-4.695e-05,4.71,3.68
-4.694e-05,4.75,3.6
-4.693e-05,4.71,3.6
-4.692e-05,4.75,3.6
-4.691e-05,4.75,3.6
-4.690e-05,4.75,3.52
-4.689e-05,4.71,3.6
-4.688e-05,4.67,3.68
-4.687e-05,4.71,3.6
-4.686e-05,4.71,3.6
-4.685e-05,4.71,3.52
-4.684e-05,4.71,3.6
-4.683e-05,4.71,3.52
-4.682e-05,4.71,3.68
-4.681e-05,4.75,3.6
-4.680e-05,4.75,3.6
-4.679e-05,4.71,3.52
-4.678e-05,4.71,3.6
-4.677e-05,4.75,3.6
-4.676e-05,4.75,3.68
-4.675e-05,4.67,3.6
-4.674e-05,4.67,3.6
-4.673e-05,4.75,3.6
-4.672e-05,4.71,3.6
-4.671e-05,4.75,3.6
-4.670e-05,4.67,3.68
-4.669e-05,4.71,3.52
-4.668e-05,4.79,3.52
-4.667e-05,4.71,3.6
-4.666e-05,4.75,3.6
-4.665e-05,4.71,3.6
-4.664e-05,4.75,3.52
-4.663e-05,4.71,3.6
-4.662e-05,4.71,3.6
-4.661e-05,4.67,3.6
-4.660e-05,4.75,3.6
-4.659e-05,4.71,3.52
-4.658e-05,4.75,3.6
-4.657e-05,4.71,3.52
-4.656e-05,4.71,3.6
-4.655e-05,4.71,3.6
-4.654e-05,4.75,3.6
-4.653e-05,4.75,3.52
-4.652e-05,4.75,3.52
